"yq","hist_value","lo90","lo66","median","up66","up90"
2015 Q1,18666.621,NA,NA,NA,NA,NA
2015 Q2,18782.243,NA,NA,NA,NA,NA
2015 Q3,18857.418,NA,NA,NA,NA,NA
2015 Q4,18892.206,NA,NA,NA,NA,NA
2016 Q1,19001.69,NA,NA,NA,NA,NA
2016 Q2,19062.709,NA,NA,NA,NA,NA
2016 Q3,19197.938,NA,NA,NA,NA,NA
2016 Q4,19304.352,NA,NA,NA,NA,NA
2017 Q1,19398.343,NA,NA,NA,NA,NA
2017 Q2,19506.949,NA,NA,NA,NA,NA
2017 Q3,19660.766,NA,NA,NA,NA,NA
2017 Q4,19882.352,NA,NA,NA,NA,NA
2018 Q1,20044.077,NA,NA,NA,NA,NA
2018 Q2,20150.476,NA,NA,NA,NA,NA
2018 Q3,20276.154,NA,NA,NA,NA,NA
2018 Q4,20304.874,NA,NA,NA,NA,NA
2019 Q1,20431.641,NA,NA,NA,NA,NA
2019 Q2,20602.275,NA,NA,NA,NA,NA
2019 Q3,20843.322,NA,NA,NA,NA,NA
2019 Q4,20985.448,NA,NA,NA,NA,NA
2020 Q1,20693.238,NA,NA,NA,NA,NA
2020 Q2,19056.617,NA,NA,NA,NA,NA
2020 Q3,20548.793,NA,NA,NA,NA,NA
2020 Q4,20771.691,NA,NA,NA,NA,NA
2021 Q1,21058.379,NA,NA,NA,NA,NA
2021 Q2,21389.005,NA,NA,NA,NA,NA
2021 Q3,21571.421,NA,NA,NA,NA,NA
2021 Q4,21960.388,NA,NA,NA,NA,NA
2022 Q1,21903.85,NA,NA,NA,NA,NA
2022 Q2,21919.222,NA,NA,NA,NA,NA
2022 Q3,22066.784,NA,NA,NA,NA,NA
2022 Q4,22249.459,NA,NA,NA,NA,NA
2023 Q1,22403.435,NA,NA,NA,NA,NA
2023 Q2,22539.418,NA,NA,NA,NA,NA
2023 Q3,22780.933,NA,NA,NA,NA,NA
2023 Q4,22960.6,NA,NA,NA,NA,NA
2024 Q1,23053.545,NA,NA,NA,NA,NA
2024 Q2,23223.906,NA,NA,NA,NA,NA
2024 Q3,23400.294,NA,NA,NA,NA,NA
2024 Q4,23536.293,NA,NA,NA,NA,NA
2025 Q1,NA,23658.4312795511,23658.4312795511,23658.4312795511,23658.4312795511,23658.4312795511
2025 Q2,NA,23721.5087597105,23721.5087597105,23721.5087597105,23721.5087597105,23721.5087597105
2025 Q3,NA,23775.3323282227,23775.3323282227,23775.3323282227,23775.3323282227,23775.3323282227
2025 Q4,NA,23903.9475031796,23903.9475031796,23903.9475031796,23903.9475031796,23903.9475031796
2026 Q1,NA,24064.0627095486,24064.0627095486,24064.0627095486,24064.0627095486,24064.0627095486
2026 Q2,NA,24176.526405414,24176.526405414,24176.526405414,24176.526405414,24176.526405414
2026 Q3,NA,24328.5020380855,24328.5020380855,24328.5020380855,24328.5020380855,24328.5020380855
2026 Q4,NA,24484.5819868725,24484.5819868725,24484.5819868725,24484.5819868725,24484.5819868725
2027 Q1,NA,24275.7527575548,24414.2453529875,24627.3270187008,24837.1707142118,24992.8153308116
2027 Q2,NA,24352.0357470562,24531.4200626739,24766.2683924556,24994.2878715945,25168.0264599351
2027 Q3,NA,24554.8058464357,24679.4651819626,24888.7348686501,25084.9461661207,25255.9070585726
2027 Q4,NA,24979.2033530023,24979.2033530023,24979.2033530023,24979.2033530023,24979.2033530023
